"No.","Time","Source","Destination","Protocol","Length","Info"
"94","18.264390428","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [ACK] Seq=187 Ack=285 Win=268800 Len=0 TSval=75113584 TSecr=3933965630"
"95","18.264390481","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [ACK] Seq=187 Ack=393 Win=268800 Len=0 TSval=75113584 TSecr=3933965630"
"96","18.264390541","8.8.8.8","192.168.1.12","DNS","113","Standard query response 0x97c7 A twitter.com A 104.244.42.129"
"97","18.264390597","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [ACK] Seq=234 Ack=459 Win=268800 Len=0 TSval=75113584 TSecr=3933965631"
"98","18.264426520","192.168.1.12","8.8.8.8","TCP","142","[TCP Spurious Retransmission] 39958  >  53 [PSH, ACK] Seq=111 Ack=187 Win=32128 Len=76 TSval=3933965688 TSecr=75113583"
"99","18.264469365","192.168.1.12","8.8.8.8","DNS","456","Standard query 0x4ef5 AAAA github.com, Standard query 0xc16d A www.youtube.com, Standard query 0xf3ed AAAA www.youtube.com, Standard query 0xc0a2 A creativecommons.org, Standard query 0x8337 AAAA creativecommons.org, Standard query 0xca92 A report-uri.com, Standard query 0x636d AAAA report-uri.com, Standard query 0x5252 A securityheaders.com, Standard query 0xc253 AAAA securityheaders.com, Standard query 0x6c72 A crawler.ninja, Standard query 0xefc2 AAAA crawler.ninja"
"100","18.264563255","8.8.8.8","192.168.1.12","DNS","162","Standard query response 0x751f AAAA twitter.com SOA a.u06.twtrdns.net"
"101","18.264563310","8.8.8.8","192.168.1.12","DNS","205","Standard query response 0x9630 A www.linkedin.com CNAME afd-lnkd.www.linkedin.com CNAME www-linkedin-com.l-0005.l-msedge.net CNAME l-0005.l-msedge.net A 13.107.42.14"
"102","18.264563373","8.8.8.8","192.168.1.12","DNS","147","Standard query response 0x4123 A www.facebook.com CNAME star-mini.c10r.facebook.com A 157.240.212.35"
"103","18.264563417","8.8.8.8","192.168.1.12","DNS","159","Standard query response 0x2df0 AAAA www.facebook.com CNAME star-mini.c10r.facebook.com AAAA 2a03:2880:f152:82:face:b00c:0:25de"
"104","18.264563463","8.8.8.8","192.168.1.12","DNS","112","Standard query response 0xd890 A github.com A 140.82.121.4"
"105","18.264563506","8.8.8.8","192.168.1.12","DNS","162","Standard query response 0x14de AAAA cdnjs.cloudflare.com AAAA 2606:4700::6811:190e AAAA 2606:4700::6811:180e"
"106","18.264563551","8.8.8.8","192.168.1.12","DNS","186","Standard query response 0x134b AAAA scotthelme.co.uk AAAA 2606:4700:20::681a:202 AAAA 2606:4700:20::ac43:4580 AAAA 2606:4700:20::681a:302"
"107","18.266124887","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=849 Ack=905 Win=31872 Len=0 TSval=3933965690 TSecr=75113584"
